text,opinion
a campanha acabou minha senhora; pare de prometer e comece a trabalhar,negativo
a casa ta caindo dilma; segura seu forninho que dessa voce nao escapa,positivo
a culpa vai ser sua e do lula em tudo o que acontecer,negativo
a maior concentração de lixo esta em brasilia; nota-se pela quantidade e tamanho dos ratos e das ratazanas ,negativo
a vai estocar o ar em caixa de papelao; discurso furado pra boi dormir,negativo
administrar uma casa ja dar trabalho imagina uma nacao  so vejo santos  que jogam pedra  fica dilma rousseff ,positivo
agora dona dilma; para a nossa completa felicidade renuncia,negativo
agora fala sem ler na colinha  cunha mito,negativo
amanhã 09/11 greve dos caminhoneiros dilma vai cair e levar todos os ladrões juntos,negativo
ao seu lado,positivo
apoiado mãe dilma,positivo
as melhores pessoas desse país estão com dilma,positivo
assume a casa caiu tanto roubo e voce ponha a cara pra bate suas víboras,negativo
até eu governo melhor saporra,negativo
até parece mesmo isso é pros bestas que votaram nela acreditar,negativo
aumentou até o número de curtidas na página avante; dilma rousseff eu te amo,positivo
avante presidenta  dilma fica,positivo
bando de bandidos vergonha do meu país; vergonha do meu governo   ainda bem que nunca votei no partido dos trabalhadores    ,negativo
bom dia  ótimo encontro e reunião bem proveitosa  obrigado;para a senhora também que seja de grandes realizações,positivo
chega de erros dilma o país nao aguenta mais tanto descaso ,negativo
claro; a boquinha é boa; dos que defendem,negativo
começou reclamação dos petistas  risos,positivo
como assim senhora presidenta votei na senhora; defendo o partido dos trabalhadores há 30 anos; mas estou me arrependendo,negativo
confiamos em voce prasidenta vai em frente e nao se deixa abater por esses canalhas da politicalha,positivo
cunha perigoso hoje atenta contra a democracia e o governo atual amanhã será contra quem ,negativo
daí a pessoa fala presidenta e eu ja sei que boa pessoa nao é ,negativo
dale dima nao vai ter golpe,positivo
defesa do emprego tá de sacanagem,negativo
deixa de mentir demônio de saia  destruíste o brasil,negativo
destruidora de  país,negativo
devolve tudo o que voce e seu partido roubaram e fica tudo certo,negativo
dilma  deveria  sair  e  deixar  esses  corrupartido dos trabalhadoresos  governaram  o  país   é  agora o  que  será   de  nós,negativo
dilma a verdadeira mulher brasileira,positivo
dilma é minha caceta ladrona suja,negativo
dilma é o povo no poder,positivo
dilma esta certisima em ser solidária jesus abencoe presidenta ,positivo
dilma eternamente em nossos  corações,positivo
dilma ja venceu uma vez; venceu na segunda e vai vencer na terceira,positivo
dilma ladrona vou mandar te prender pelo ibama,negativo
dilma mae do capeta,negativo
dilma ou lula  sempre partido dos trabalhadores,positivo
dilma pelo bem do nosso pais ; pegue sua mala e vai pra cuba ,negativo
dilma precisará voltar ao leito de onde nunca deveria ter saído ,negativo
dilma rousseff desgraçada,negativo
dilma rousseff fica; ela fica em nome de jesus,positivo
dinheiro; dinheiro e mais dinheiro isso aí dilmazinha 200 pra voce   50 para os necessitados ,negativo
e aí  mortadelinhas a gerentona incompetente e anta cai ou nao cai,negativo
é mentira da dilma terrorista vai cair,negativo
e o primeiro que mais investe em corrupção,negativo
e os hospitais do rio fechando senhora dinheiro pra olimpíada tem,negativo
é por essas e outras que  dilma fica  e  somos todos dilma,positivo
enquanto essa incompetência em pessoa estiver no governo ,negativo
esse câncer do partido dos trabalhadores   risos,negativo
esse cantor de 5 ° categoria e à sua família; foram beneficiados por esse governo em milhões,negativo
esse governo do partido dos trabalhadores é um câncer que está matando o brasil,negativo
esta ganhando quando pra publicar isso ,negativo
estamos com voce presidenta,positivo
estamos junto por um país melhor dilma coração valente mulher brasileira é guerreira,positivo
estamos junto presidenta    risos,positivo
estamos juntos dilma,positivo
estamos juntos presidenta dilma rousseff,positivo
estou a uns 20 minutos aqui e essa poha n carrega,negativo
estou com dilma rousseff,positivo
estou com voce,positivo
estou com voce; coração valente ,positivo
estou contigo dilma ,positivo
eu estou com voce dilma rousseff,positivo
eu quero que o partido dos trabalhadores vai se fuder bem longe do brasil de preferência levando voces também,negativo
eu tenho vergonha de ter essa mulher como presidenta do meu pais,negativo
fala demais; e nao faz bosta nenhuma,negativo
falar bonito é molé      vagaranha,negativo
feliz natal presidenta,positivo
feliz natal querida presidenta dilma  que deus abençoe a família da  senhora ,positivo
fica dilma  fora cunha,positivo
fica tranquila presidente; nem se compara ao estrago que seu governo fez no pais,negativo
firmeza e compromissoos seus estão com voce coragem presidenta,positivo
fora tem q ter impecheman mesmo,negativo
fora tem que ter impecheman mesmo,negativo
força ; fé e coragem,positivo
força minha presidenta,positivo
força presidente dilma o país precisa de vossa senhoria,positivo
hoje o inferno está em festa aniversário da mulher do diabo,negativo
juventude com dilma uma ova,negativo
levy segue destruindo a economia e tu só olhando   teimosa,negativo
lindas muita saúde e paz pra voces e força para continuar fazendo tanto bem ao nosso país,positivo
manifestação na av  paulista cheia de brasileiros pensantes    força dilma,positivo
massa presidenta; dilma nosso orgulho valeu presidenta,positivo
mentindo de novo   odio,negativo
minha amada presidenta um abraço afetuoso e a paz de cristo para nós nesse fim de semana e sempre,positivo
minha amada querida presidente dilma,positivo
nao acredito nessa senhora; nem no seu senhor; aguardem,negativo
nao aprece aqui pqp,negativo
nao haverá golpe avança brasil com dilma presidente e lula sucessor em 2018 ,positivo
nao vai ter golpe  acabou a hegemonia dos fascistas ,negativo
nao vai ter golpe dima fica,positivo
nao vai ter golpe por um país democrático dilma estou contigo,positivo
nao vai ter golpe viva a democracia,positivo
nao vai ter golpe voce vai vencer mais uma vez minha rainha mãe dilma ,positivo
nao vai ter golpe voce vai vencer mais uma vez minha rainha mãe dilma ,positivo
nao vai ter golpe força dilma,positivo
nao vai ter golpe  isso é passado,positivo
naovai ter golpe viva a democracia,positivo
nunca se roubou tanto nesse país;,negativo
o brasil nao só parou entrou em coma  ,negativo
o povo esteve com voce e sempre estará,positivo
o que ja nao éra nosso do povo; agora menos ainda  xo pres  dilma,negativo
o vídeo ja caiu; assim como dilma vai cair,negativo
padilha pediu demissão; pmdb viu barco afundando; último sair apague luz vergonha presidenta  vai restar pedra sobre pedra chefe vai cadeia; ja,negativo
papo muito lindo  eu nao moro nesse brasil ,negativo
para 2018 lula vai fazer o bolsa carne    ,negativo
parabéns  minha guerreira sou tua fã ,positivo
parabens dilma eu te amo  dilma,positivo
parabéns dilma presidenta; feliz aniversário; um abraço respeitoso do mr  pagode   ,positivo
parabens dilma rousseff nossa grande presidenta muitas felicidades; muita saúde e paz hoje e sempre,positivo
parabens sua mae estabem conservada muito bonita deus ajude que ela melhore tenha fe eu sou sua fa,positivo
parabéns; guerreira do coração valente; que o seu dia seja perfeito; seja muito feliz,positivo
partido dos ladrões,negativo
partido dos trabalhadores ja chance bem lula ; agora serão excluidos definitivamente vida historia brasil como o pior partido politico toda historia brasil ,negativo
pedala dilma; vergonha ,negativo
pergunta:  quem e o pior dos dois   alguem se arrisca a responder   ,negativo
pode investir ; mas o dinheiro nao chega no seu destino por inteiro ,negativo
povo ja cansou de tanta quadrilha que rouba e nem vai para cadeia,negativo
povo retardado    ,negativo
pra cima desses golpistas dilma o povo pobre; negro; nordestino; favelado está contigo,positivo
pra que tirar dilma  para colocar os tucanos afundaaa nordeste  viva dilma,positivo
prende o cunha que a direita golpista vai cair ,negativo
presidenta a sua humildade;perseverança; dedicação aos brasileiros; que deus abençoe a todos  ,positivo
presidenta  estamos com a senhora  avante ,positivo
presidente ; isso é mentira,negativo
presidente estamos juntos com voce,positivo
que deus abençoe todos os povos ,positivo
que golpe seus burros é só uma investigação difícil entender isso,negativo
que mane paris; fala do brasil que é sua única obrigação   paris deixa para os governantes responsáveis ,negativo
quem elegeu essa praga foi a urna eletrônica e o capeta,negativo
quem enfrentou a ditadura nao treme diante de ratos de esgoto; pra cima deles presidenta ,positivo
quem te colocou ai coração valente foi o povo,positivo
reduziu o desmatamento o salário o emprego o desenvolvimento etc     ,negativo
ruim com ela pior sem ela  ,positivo
se houver acordo com cunha o partido dos trabalhadores estará assinando sua carta se suicìdio ,negativo
sempre viví do meu salário   desde 1977  e nao podíamos reclamarquanto reclamação; presisidenta nao é tudo perfeito; mas eleito é elieito,positivo
sou mais dilma rousseff,positivo
tanta jovens aí se acabando,negativo
tenha fé em deus vai da tudo certo,positivo
ti amamos muito queremos que pelo menos em família esteja protegida das peripécias da vida,positivo
todos unidos unidos em defesa da democracia ,positivo
um natal cheio de desemprego; inflação e corrupção ,negativo
uma senvergonha dessa ta mesmo mudando o brasil pra piorrr,negativo
va se lasca renuncie o poder e deixe o país respirar novamente,negativo
vai acabar enfiando os pés na jaca; batendo a mão no peitinho e se achando a salvadora de paris ,negativo
vai ajudar o rio de janeiro  pra que serve o mais médicos,negativo
vai dilma pros infernos,negativo
vai pra cuba,negativo
vai pro inferno dilma,negativo
vai pros quintos dos infernos partido dos trabalhadores ,negativo
vamos em frente dilma ,positivo
vamos que vamos dilminha,positivo
vão cair bando de alienados e sanguessugas,negativo
voce cortou tudo isso ae mais nao cortou a corrupção da sua quadrilha ,negativo
voce e o capeta,negativo
voce é vencedora eatamos com voce parabéns  coragem é sua marca guerreira ,positivo
voce ta rica porra ; sai da presidência e deixa um presidente melhor entrar,negativo
voces estao usando drogas essa mulher e o capeta,negativo
volta pro pasto,negativo
